row_id,mdsdt_ok,mdsdt_secs,mdsdt_model,mdsdt_zx_0,mdsdt_zx_1,mdsdt_zx_2,mdsdt_zx_3,mdsdt_zy_0,mdsdt_zy_1,mdsdt_zy_2,mdsdt_zy_3,mdsdt_rho_0,mdsdt_rho_1,mdsdt_rho_2,mdsdt_rho_3,mdsdt_full_zx_0,mdsdt_full_zx_1,mdsdt_full_zx_2,mdsdt_full_zx_3,mdsdt_full_zy_0,mdsdt_full_zy_1,mdsdt_full_zy_2,mdsdt_full_zy_3,mdsdt_full_rho_0,mdsdt_full_rho_1,mdsdt_full_rho_2,mdsdt_full_rho_3,grtools_ok,grtools_secs,grtools_model,grtools_zx_0,grtools_zx_1,grtools_zx_2,grtools_zx_3,grtools_zy_0,grtools_zy_1,grtools_zy_2,grtools_zy_3,grtools_rho_0,grtools_rho_1,grtools_rho_2,grtools_rho_3,grtools_bound_a1,grtools_bound_a2,grtools_1rep_ok,grtools_1rep_secs,grtools_1rep_model
0,TRUE,0.09523200988769531,"{PI, PS, DS}",-1.8696064827009864,-1.8696064827009864,0.4922868698483833,0.4922868698483833,-0.9352672623278202,1.3596388349009374,-0.9352672623278202,1.3596388349009374,0,0,0,0,-1.8829917018355984,-1.8557299227201105,0.5168467276526095,0.4676987991145086,-0.9187832501485357,1.2206403488473496,-0.9500137556693218,1.501085946044025,0.40511221306145506,-0.5444861005632319,0.14369715343662737,0.11121156576058078,FALSE,23.566871881484985,"GRT-{PI, PS, DS}",-2.818458446269386,-2.818458446269386,0.5261446824813434,0.5261446824813434,-1.055182427868748,1.5304491676860115,-1.055182427868748,1.5304491676860115,0,0,0,0,-2.818458446269386,-1.055182427868748,TRUE,2.1062560081481934,"GRT-{PI, PS, DS}"
1,TRUE,0.11794400215148926,"{PI, PS, DS}",-1.2670756610793328,-1.2670756610793328,1.295574913614539,1.295574913614539,-0.38532046640756773,1.2815502628775355,-0.38532046640756773,1.2815502628775355,0,0,0,0,-1.2815515655446004,-1.2521195202652193,1.2815515655446004,1.3091717167857773,-0.25334710313579994,1.2521195202652193,-0.5244005127080408,1.3091717167857773,0.14438673509312774,-0.7298339461158496,-0.29906974604694037,0.7427445908224026,FALSE,18.598445177078247,"GRT-{PI, PS, DS}",-3.3649591691973963,-3.3649591691973963,5.699617663300485,5.699617663300485,-0.49822634507009733,4.398787207560896,-0.49822634507009733,4.398787207560896,0,0,0,0,-3.3649591691973963,-0.49822634507009733,FALSE,1.577545166015625,"GRT-{PI, PS, DS}"
2,TRUE,0.09298300743103027,"{PI, PS, DS}",-1.382984224003293,-1.382984224003293,1.0522541497126738,1.0522541497126738,-0.7124419472079624,1.041003592272328,-0.7124419472079624,1.041003592272328,0,0,0,0,-1.335177736118937,-1.4260768722728474,1.0364333894937896,1.067570523878142,-0.7478585947633024,1.0200762327862019,-0.6744897501960819,1.067570523878142,0.41626902757028506,-0.5453807197920847,-0.15972546641246282,0.4248204673602846,TRUE,23.232386827468872,"GRT-{PI, PS, DS}",-3.3151556176188954,-3.3151556176188954,1.5315270606271278,1.5315270606271278,-0.9484289518960185,1.4263676150300066,-0.9484289518960185,1.4263676150300066,0,0,0,0,-3.3151556176188954,-0.9484289518960185,TRUE,2.177708864212036,"GRT-{PI, PS, DS}"
3,TRUE,0.09884190559387207,"{PI, PS, DS}",-0.5659488219328612,-0.5659488219328612,1.681877520137694,1.681877520137694,-1.6637927338632705,0.17409777996856846,-1.6637927338632705,0.17409777996856846,0,0,0,0,-0.5443409149356107,-0.5867419200763473,1.7116753065097288,1.6606976105540419,-1.8186455928500607,0.10291203372144468,-1.5123895860676804,0.24500622303732086,0.2459861440427197,0.22214479863935946,-0.7167998040915086,-0.08874185818963948,FALSE,26.708698987960815,"GRT-{PI, PS, DS}",-0.6119737198440189,-0.6119737198440189,2.494230842549682,2.494230842549682,-2.1903094187595236,0.1753408218591921,-2.1903094187595236,0.1753408218591921,0,0,0,0,-0.6119737198440189,-2.1903094187595236,FALSE,3.0823850631713867,"GRT-{PI, PS, DS}"
4,TRUE,0.10167098045349121,"{PI, PS, DS}",-2.027599206591271,-2.027599206591271,1.2854630246352237,1.2854630246352237,-0.9635275738772331,2.0458603932237454,-0.9635275738772331,2.0458603932237454,0,0,0,0,-1.9350828275345233,-2.145778426818298,1.3255425272698824,1.2366522415199068,-0.9718486924642756,2.0919110967469563,-0.95699667071119765,2.00423357987982,0.13060657737445805,-0.44975213743380876,0.041666231468601225,-0.018804860467943087,FALSE,25.939265966415405,"GRT-{PI, PS, DS}",-2.0641814391413145,-2.0641814391413145,1.298949794506333,1.298949794506333,-0.9657120663855593,2.1812647458619665,-0.9657120663855593,2.1812647458619665,0,0,0,0,-2.0641814391413145,-0.9657120663855593,FALSE,2.407881021499634,"GRT-{PI, PS, DS}"
5,TRUE,0.14894914627075195,"{PI, PS(B), DS}",-0.841621233572914,-1.5763614436960824,1.7365070052471263,1.574444965217043,-0.5637611913857004,0.5903234470261155,-0.5637611913857004,0.5903234470261155,0,0,0,0,-0.8416212335729143,-1.5763614436960824,1.736507005247126,1.574444965217043,-0.6662314746056688,0.777639429798439,-0.46885223825071864,0.44842548330593457,-0.09674446139548813,0.03174801884731263,0.0947733174861516,0.22404164622110834,FALSE,23.574803113937378,"GRT-{PI, PS(B), DS}",-0.8797757985112846,-1.8108439548603852,2.0230593963864605,1.7167697150104706,-0.6053055479779365,0.6178784292044911,-0.6053055479779365,0.6178784292044911,0,0,0,0,-0.8797757985112846,-0.6053055479779365,FALSE,2.0035178661346436,"GRT-{PI, PS(B), DS}"
6,TRUE,0.07904887199401855,"{PI, PS, DS}",-0.43072729929545767,-0.43072729929545767,0.4307272992954578,0.4307272992954578,-0.43072729929545767,0.4307272992954578,-0.43072729929545767,0.4307272992954578,0,0,0,0,-0.43072729929545744,-0.4307272992954575,0.43072729929545767,0.43072729929545756,-0.43072729929545744,0.43072729929545767,-0.4307272992954575,0.43072729929545756,0.39669078245036643,-0.3966907824503664,-0.3966907824503664,0.3966907824503665,TRUE,9.46549391746521,"GRT-{PI, PS, DS}",-3.603027304432792,-3.603027304432792,3.6441659015892585,3.6441659015892585,-3.2027234567405767,4.62611957202746,-3.2027234567405767,4.62611957202746,0,0,0,0,-3.603027304432792,-3.2027234567405767,TRUE,0.9424939155578613,"GRT-{PI, PS, DS}"
7,TRUE,0.08144998550415039,"{PI, PS, DS}",-1.446103585860445,-1.446103585860445,1.3144962914639993,1.3144962914639993,0.1300185833068613,0.1282398259803081,0.1300185833068613,0.1282398259803081,0,0,0,0,-1.5179291595942788,-1.3597373839386058,1.2206403488473496,1.4260768722728472,0.20354423153248669,0.1642107770793311,0.04643572477052682,0.09655861528963933,-0.10417925404939132,-0.0902202438787156,-0.22041864351049376,0.051470439871135865,TRUE,24.69625997543335,"GRT-{PI, PS, DS}",-3.133430550771123,-3.133430550771123,2.0744851724069373,2.0744851724069373,0.16037681777617485,0.1533728154184199,0.16037681777617485,0.1533728154184199,0,0,0,0,-3.133430550771123,0.16037681777617485,TRUE,2.4327330589294434,"GRT-{PI, PS, DS}"
8,TRUE,0.10111188888549805,"{PI, PS(B), DS}",-0.8340455451790013,-1.2670757512664443,1.6959907045502698,1.937931510852829,-1.3919600436069808,1.1907127558582893,-1.3919600436069808,1.1907127558582893,0,0,0,0,-0.8340455451790011,-1.2670757512664443,1.69599070455027,1.9379315108528292,-1.3715204728028318,1.1349166179934915,-1.4141993772446095,1.2521195202652196,0.28799321467326766,0.13618153318586967,-0.3709865742938673,0.36582648818277236,TRUE,25.101703882217407,"GRT-{PI, PS, DS}",-1.1068558401744237,-1.1068558401744237,2.0872214658123527,2.0872214658123527,-1.518612789541781,1.2763754722267775,-1.518612789541781,1.2763754722267775,0,0,0,0,-1.1068558401744237,-1.518612789541781,TRUE,2.297999858856201,"GRT-{PI, PS, DS}"
9,TRUE,0.10793209075927734,"{PI, PS(A), DS}",-1.0927305429638914,-1.0927305429638914,1.281542946547279,1.281542946547279,-0.43072729929545767,1.3829941271006387,-1.0200762327862016,0.6744897501960819,0,0,0,0,-1.044408794872596,-1.1503493803760083,1.1983797023069247,1.3829941271006385,-0.43072729929545783,1.3829941271006387,-1.0200762327862014,0.6744897501960819,0.2762335503462192,-0.6281985439000657,-0.3643447233476116,0.36707002112674514,FALSE,26.609980821609497,"GRT-{PI, PS, DS}",-1.4858718175504986,-1.4858718175504986,1.9810092500793857,1.9810092500793857,-0.8424603874047952,1.3031717435971775,-0.8424603874047952,1.3031717435971775,0,0,0,0,-1.4858718175504986,-0.8424603874047952,TRUE,2.275844097137451,"GRT-{PI, PS, DS}"
